Wine Type,Category,Table1.id,Table1.name,Table1.volume,Table1.ABV,Table1.location,Table1.country,Table1.producer,Table1.style,Table1.price,Table1.sugar,Table1.sweetness,Table1.total_alcohol_ml,Table1.value,Table1.type,Table1.class,Table1.rating,Table1.rating_norm,Table1.value_norm,Table1.score_norm,Table1.score
Pinot Grigio,White Wine,5836,Peller Family Vineyards Pinot Grigio,4000,13.3,Canada,Canada,Andrew Peller Limited,Light & Crisp,41.95,7,D - Dry,532,12.681764,Pinot Grigio,wine,5,0.734543234,2.717434279,1.996072964,63.40882
Pinot Grigio,White Wine,7304,Peller Family Vineyards Pinot Grigio,1500,13.3,Canada,Canada,Andrew Peller Limited,Light & Crisp,15.95,7,D - Dry,199.5,12.50783699,Pinot Grigio,wine,5,0.734543234,2.658224526,1.952580841,62.53918495
Pinot Grigio,White Wine,5406,Naked Grape Pinot Grigio,4000,12,Canada,Canada,"Arterra Wines Canada, Inc.",Light & Crisp,41.95,6,XD - Extra Dry,480,11.44219309,Pinot Grigio,wine,,,2.295448714,,
Pinot Grigio,White Wine,12931,Spritzd Pinot Grigio Wine Spritzer,355,6.6,California,USA,Spritzd Beverage Co.,Crisp & Tropical Fruit,2.1,2,XD - Extra Dry,23.43,11.15714286,Pinot Grigio,wine,4,-0.553844918,2.198409423,-1.217577886,44.62857144
Pinot Grigio,White Wine,8745,Babe Grigio With Bubbles,250,12,California,USA,Babe Beverage Co.,Light & Fruity,2.75,21,M - Medium,30,10.90909091,Pinot Grigio,wine,3.7,-0.940361364,2.113965409,-1.987891395,40.36363637
Pinot Grigio,White Wine,10837,Bodacious Pinot Grigio,750,12,Canada,Canada,"Arterra Wines Canada, Inc.",Light & Crisp,8.25,21,M - Medium,90,10.90909091,Pinot Grigio,wine,5,0.734543234,2.113965409,1.552798989,54.54545455
Pinot Grigio,White Wine,7574,Lamberti Santepietre Pinot Grigio,750,12,Veneto,Italy,Lamberti S.P.A.,Light & Crisp,8.3,7,D - Dry,90,10.84337349,Pinot Grigio,wine,,,2.091593311,,
Pinot Grigio,White Wine,6569,Barone Montalto Pinot Grigio,1500,12,Sicily,Italy,Barone Montalto,Light & Crisp,16.95,6,XD - Extra Dry,180,10.61946903,Pinot Grigio,wine,5,0.734543234,2.015369797,1.480376249,53.09734515
Pinot Grigio,White Wine,6660,Tavernello Pinot Grigio Delle Venezie DOC,750,12,Emilia-Romagna,Italy,Caviro Soc. Coop.,Light & Crisp,8.5,5,XD - Extra Dry,90,10.58823529,Pinot Grigio,wine,5,0.734543234,2.004736934,1.472565952,52.94117645
Pinot Grigio,White Wine,7232,Casal Thaulero Pinot Grigio IGT,750,12.5,Abruzzo,Italy,Casal Thaulero D.P.L.,Light & Crisp,8.95,3,XD - Extra Dry,93.75,10.47486034,Pinot Grigio,wine,5,0.734543234,1.966140843,1.444215454,52.3743017
White Blend,White Wine,10993,Jackson-Triggs Proprietors' Selection Smooth White,1500,12.5,Ontario,Canada,Jackson-Triggs Winery,Light & Crisp,14.85,13,D - Dry,187.5,12.62626263,White Blend,wine,,,2.698540017,,
White Blend,White Wine,13044,Farmhouse California White,750,13.5,California,USA,Cline Cellars,Light & Crisp,8.3,7,D - Dry,101.25,12.19879518,White Blend,wine,5,0.734543234,2.553017811,1.875301961,60.9939759
White Blend,White Wine,10746,Fuzion Chenin Chardonnay,1500,12.5,Mendoza,Argentina,Fuzion Wines,Light & Crisp,15.95,2,XD - Extra Dry,187.5,11.75548589,White Blend,wine,,,2.402102587,,
White Blend,White Wine,6184,Tryst Fresh and Clean White,750,13,Ontario,Canada,"Arterra Wines Canada, Inc.",Light & Crisp,8.3,9,D - Dry,97.5,11.74698795,White Blend,wine,4,-0.553844918,2.399209644,-1.328790069,46.9879518
White Blend,White Wine,6048,Comuna Chardonnay Pinot Grigio,750,13.5,Mendoza,Argentina,Bodega Argento,Light & Crisp,8.95,4,XD - Extra Dry,101.25,11.31284916,White Blend,wine,4,-0.553844918,2.251416322,-1.246935488,45.25139664
White Blend,White Wine,6614,Luccarelli Puglia Bianco IGP,750,12.5,Puglia,Italy,Fantini Group Vini Srl,Light & Crisp,8.3,8,D - Dry,93.75,11.29518072,White Blend,wine,3.3,-1.455716625,2.245401478,-3.26866826,37.27409638
White Blend,White Wine,6022,Unwined Smooth White,750,12,Ontario,Canada,Colio Wines Of Canada Ltd.,Aromatic & Flavourful,8.3,18,M - Medium,90,10.84337349,White Blend,wine,3,-1.84223307,2.091593311,-3.853202367,32.53012047
White Blend,White Wine,5554,Bodacious Smooth White,4000,11.5,Ontario,Canada,"Arterra Wines Canada, Inc.",Off-dry & Fruity,43.95,30,M - Medium,460,10.46643914,White Blend,wine,3,-1.84223307,1.963274024,-3.616808333,31.39931742
Shiraz/Cabernet Sauvignon,White Wine,7305,Hardys Stamp Series Shiraz Cabernet,1500,13.5,Australia,Australia,Accolade Wines Ltd.,Full-bodied & Smooth,16.1,9,D - Dry,202.5,12.57763975,Shiraz/Cabernet Sauvignon,wine,4.5,0.090349158,2.681987392,0.242315303,56.59937888
Shiraz/Cabernet Sauvignon,White Wine,10668,Lindemans Cawarra Shiraz Cabernet,1500,14,Australia,Australia,Lindeman's Wines,Full-bodied & Smooth,19.95,13,D - Dry,210,10.52631579,Shiraz/Cabernet Sauvignon,wine,4,-0.553844918,1.983657757,-1.098638768,42.10526316
Chardonnay,White Wine,4708,Sawmill Creek Chardonnay,4000,12.5,Canada,Canada,"Arterra Wines Canada, Inc.",Light & Crisp,39.95,7,D - Dry,500,12.51564456,Chardonnay,wine,,,2.660882447,,
Chardonnay,White Wine,5193,Santa Carolina Chardonnay,1500,12.5,Chile,Chile,Vina Santa Carolina,Light & Crisp,15.1,5,XD - Extra Dry,187.5,12.41721854,Chardonnay,wine,4,-0.553844918,2.627375401,-1.455158513,49.66887416
Chardonnay,White Wine,6057,Gato Negro Chardonnay,1500,13,Central Valley,Chile,Vina San Pedro,Light & Crisp,16.05,2,XD - Extra Dry,195,12.14953271,Chardonnay,wine,,,2.536247451,,
Chardonnay,White Wine,7432,Casarsa Chardonnay Delle Venezie IGT,1500,12,Veneto,Italy,Viticoltori Friulana La Delizia,Light & Crisp,14.85,7,D - Dry,180,12.12121212,Chardonnay,wine,5,0.734543234,2.526606308,1.855901569,60.6060606
Chardonnay,White Wine,4763,Gray Fox Chardonnay,1500,12.5,California,USA,The Wine Group,Light & Crisp,15.55,8,D - Dry,187.5,12.05787781,Chardonnay,wine,5,0.734543234,2.505045488,1.840064215,60.28938905
Chardonnay,White Wine,4802,Adesso Chardonnay D'Italia,1500,12,Veneto,Italy,Caviro Soc. Coop.,Light & Crisp,15.1,6,XD - Extra Dry,180,11.9205298,Chardonnay,wine,5,0.734543234,2.458288278,1.805719023,59.602649
Chardonnay,White Wine,5469,Concha Y Toro Frontera Chardonnay,1500,12.5,Chile,Chile,Concha Toro S.A.,Light & Crisp,15.95,5,XD - Extra Dry,187.5,11.75548589,Chardonnay,wine,,,2.402102587,,
Chardonnay,White Wine,7264,Peller Family Vineyards Chardonnay,4000,12,Canada,Canada,Andrew Peller Limited,Light & Crisp,41.95,6,XD - Extra Dry,480,11.44219309,Chardonnay,wine,4,-0.553844918,2.295448714,-1.271322604,45.76877236
Chardonnay,White Wine,11874,Pascual Toso Chardonnay,750,12.5,Argentina,Argentina,Pascual Toso,Full-bodied & Rich,8.3,2,XD - Extra Dry,93.75,11.29518072,Chardonnay,wine,,,2.245401478,,
